match_id;season_id;date;h_team_id;a_team_id;h_team_spi;a_team_spi;prob_h_win;prob_a_win;prob_tie;h_proj_score;a_proj_score;importance_h;importance_a;h_score;a_score;h_xg;a_xg;h_nsxg;a_nsxg
1;1;2020-09-12;8;14;64.18;77.16;0.2817;0.4608;0.2575;1.17;1.56;37.3;32.6;0.0;3.0;0.14;2.99;0.27;1.53
2;1;2020-09-12;6;17;67.69;72.48;0.3698;0.3531;0.2771;1.27;1.23;32.1;18.1;1.0;0.0;1.51;1.16;0.94;1.65
3;1;2020-09-12;16;9;91.07;64.09;0.8358;0.0438;0.1203;2.67;0.47;55.5;35.5;4.0;3.0;3.33;0.37;3.01;0.75
4;1;2020-09-12;7;4;70.38;64.72;0.4887;0.2556;0.2558;1.6;1.08;24.1;36.1;0.0;2.0;0.97;1.48;1.1;1.86
5;1;2020-09-13;25;5;61.67;79.02;0.2392;0.5013;0.2596;1.0;1.57;38.5;38.3;0.0;3.0;0.41;2.85;0.46;0.66
6;1;2020-09-13;1;3;78.51;74.05;0.5024;0.2443;0.2533;1.63;1.06;42.9;25.6;0.0;1.0;1.03;1.11;1.32;1.11
7;1;2020-09-14;24;18;69.2;78.0;0.3155;0.382;0.3024;1.01;1.14;29.2;32.0;0.0;2.0;0.94;1.8;1.75;0.95
8;1;2020-09-14;13;12;68.03;85.37;0.1944;0.5806;0.2249;1.02;1.93;28.3;61.0;1.0;3.0;1.85;1.24;0.98;0.57
9;1;2020-09-19;3;25;74.96;60.24;0.5662;0.1817;0.252;1.64;0.81;23.9;41.9;5.0;2.0;3.48;0.35;2.51;0.82
10;1;2020-09-19;9;8;64.27;61.96;0.4509;0.2783;0.2708;1.44;1.07;40.6;41.2;4.0;3.0;1.32;1.59;0.87;1.08
11;1;2020-09-19;10;6;86.83;68.03;0.7097;0.0963;0.1941;2.04;0.6;63.0;22.0;1.0;3.0;1.29;1.92;2.21;0.58
12;1;2020-09-19;14;7;79.17;68.77;0.5707;0.201;0.2283;1.89;1.03;42.8;23.1;2.0;1.0;1.33;2.15;2.37;1.01
13;1;2020-09-20;17;1;72.32;77.91;0.3495;0.3883;0.2622;1.33;1.41;19.5;31.7;2.0;5.0;2.29;2.92;0.7;0.85
14;1;2020-09-20;4;13;66.46;68.46;0.395;0.3235;0.2815;1.28;1.13;29.3;32.6;0.0;3.0;0.56;1.88;0.62;0.45
15;1;2020-09-20;12;16;85.04;90.62;0.3359;0.4314;0.2327;1.56;1.79;60.6;58.9;0.0;2.0;0.94;1.74;0.44;2.61
16;1;2020-09-20;5;21;80.34;69.08;0.5784;0.1761;0.2455;1.69;0.81;46.8;27.8;4.0;2.0;1.03;1.71;2.23;1.7
17;1;2020-09-21;20;24;66.48;68.43;0.4085;0.307;0.2844;1.29;1.08;35.1;34.2;1.0;0.0;0.94;0.9;2.54;0.32
18;1;2020-09-21;18;11;78.54;94.11;0.1549;0.6341;0.211;0.89;2.03;42.6;76.0;1.0;3.0;0.76;2.19;0.9;1.22
19;1;2020-09-26;13;10;70.26;85.38;0.2135;0.5444;0.2421;1.0;1.75;20.9;55.4;2.0;3.0;2.98;1.6;2.38;1.16
20;1;2020-09-26;6;3;69.71;75.8;0.3302;0.3928;0.277;1.18;1.31;17.9;34.9;1.0;2.0;0.7;2.38;1.0;0.97
21;1;2020-09-26;25;12;58.24;84.16;0.1528;0.6443;0.2029;0.93;2.13;43.5;55.3;3.0;3.0;0.79;2.49;0.75;2.27
22;1;2020-09-26;21;17;69.22;70.94;0.4048;0.3321;0.2631;1.44;1.28;31.6;24.9;0.0;1.0;0.47;0.7;1.32;0.79
23;1;2020-09-27;24;9;67.59;63.59;0.4454;0.2793;0.2754;1.4;1.05;40.4;39.8;0.0;1.0;1.6;1.29;1.8;1.7
24;1;2020-09-27;1;4;78.56;64.78;0.6036;0.1677;0.2288;1.85;0.86;39.4;32.0;1.0;1.0;3.64;0.98;2.35;0.64
25;1;2020-09-27;11;5;94.16;79.59;0.7425;0.0957;0.1618;2.48;0.77;80.8;54.1;2.0;5.0;1.4;2.98;1.37;0.41
26;1;2020-09-27;7;18;69.01;78.46;0.3324;0.3933;0.2743;1.2;1.33;30.4;33.2;4.0;0.0;2.95;0.47;1.04;1.01
27;1;2020-09-28;8;20;61.8;67.61;0.373;0.3521;0.2748;1.29;1.24;42.4;32.9;0.0;3.0;0.63;2.03;2.12;1.9
28;1;2020-09-28;16;14;91.38;78.83;0.66;0.1468;0.1932;2.25;0.96;65.0;46.1;3.0;1.0;2.88;1.45;1.68;0.56
29;1;2020-10-03;12;6;83.65;68.75;0.6733;0.1272;0.1995;2.09;0.78;62.4;16.0;4.0;0.0;2.73;0.15;1.22;0.93
30;1;2020-10-03;3;13;76.6;71.45;0.5098;0.2357;0.2544;1.62;1.02;41.9;17.7;4.0;2.0;2.87;1.26;1.79;1.64
31;1;2020-10-03;9;11;64.26;92.85;0.0873;0.771;0.1417;0.85;2.78;27.3;69.2;1.0;1.0;2.55;1.56;1.53;2.9
32;1;2020-10-03;4;21;64.22;69.05;0.377;0.341;0.282;1.25;1.17;40.8;32.5;3.0;1.0;1.96;0.56;1.1;1.45
33;1;2020-10-04;17;25;71.66;58.44;0.5561;0.2039;0.24;1.76;0.97;26.0;42.8;2.0;0.0;0.98;0.18;0.83;0.57
34;1;2020-10-04;5;7;81.71;71.38;0.5933;0.1875;0.2192;1.99;1.02;59.7;20.0;0.0;3.0;0.58;2.06;0.98;1.26
35;1;2020-10-04;18;8;76.14;59.94;0.5636;0.1843;0.2521;1.64;0.82;20.2;42.3;1.0;0.0;1.1;0.96;0.9;1.11
36;1;2020-10-04;14;24;78.69;66.93;0.5815;0.1772;0.2413;1.73;0.84;42.2;38.5;2.0;1.0;0.61;0.2;0.8;0.73
37;1;2020-10-04;10;1;83.96;78.87;0.5211;0.246;0.2329;1.86;1.21;59.7;42.9;1.0;6.0;0.93;3.75;0.85;1.46
38;1;2020-10-04;20;16;69.04;91.44;0.1201;0.7;0.18;0.85;2.33;20.9;79.6;7.0;2.0;3.23;2.01;1.4;2.22
39;1;2020-10-17;3;16;76.89;88.81;0.2461;0.5353;0.2186;1.34;2.05;52.6;66.4;2.0;2.0;1.43;3.0;1.17;2.1
40;1;2020-10-17;12;17;84.52;72.31;0.6372;0.1561;0.2067;2.09;0.92;60.8;20.7;3.0;3.0;1.57;1.62;1.99;1.1
41;1;2020-10-17;11;14;92.02;78.56;0.6943;0.1291;0.1766;2.43;0.96;80.8;50.8;1.0;0.0;1.57;0.8;1.47;0.7
42;1;2020-10-17;4;10;65.22;81.34;0.2254;0.5416;0.233;1.12;1.85;29.7;48.3;1.0;4.0;0.86;2.3;0.99;2.14
43;1;2020-10-18;24;8;67.39;60.7;0.4739;0.2466;0.2795;1.39;0.92;51.5;50.1;1.0;1.0;1.66;1.47;0.78;1.52
44;1;2020-10-18;6;13;67.68;70.38;0.3834;0.342;0.2746;1.31;1.22;28.8;26.4;1.0;1.0;0.76;1.49;0.24;2.14
45;1;2020-10-18;1;7;81.3;73.65;0.5588;0.217;0.2242;1.96;1.14;58.2;28.2;3.0;3.0;2.1;1.35;1.15;1.48
46;1;2020-10-18;5;20;79.83;72.43;0.5424;0.2234;0.2342;1.84;1.1;54.8;30.7;0.0;1.0;0.64;0.97;1.04;2.18
47;1;2020-10-19;25;21;58.34;67.75;0.3278;0.3969;0.2753;1.18;1.33;44.1;44.2;0.0;0.0;0.81;1.2;0.85;0.76
48;1;2020-10-19;9;18;65.87;75.81;0.3342;0.3881;0.2777;1.18;1.3;25.0;22.2;0.0;1.0;1.19;0.69;1.99;0.66
