FPL Name;Understat
mahmoud ahmed ibrahim hassan;trezeguet
vitor ferreira;vitinha
frederico rodrigues de paula santos;fred
oluwasemilogo adesewo ibidapo ajayi;semi ajayi
lucas tolentino coelho de lima;lucas paqueta
tino livramento;valentino livramento
mathias jorgensen;zanka
mateus cardoso lemos martins;tete
andre-frank zambo anguissa;franck zambo
bamidele alli;dele alli
fabio henrique tavares;fabinho
fernando luiz rosa;fernandinho
francisco casilla cortes;kiko casilla
solomon march;solomon march
edward nketiah;eddie nketiah
joseph willock;joe willock
pelenda joshua dasilva;josh dasilva
francisco femenia far;kiko femenía
francisco jorge tomas oliveira;chiquinho
marcus oliveira alencar;marquinhos
diogo teixeira da silva;diogo jota
benjamin white;ben white
nayef aguerd;naif aguerd
matty cash;matthew cash
raphael dias belloli;raphinha
carlos ribeiro dias;cafu
mathew ryan;mat ryan
alexandre moreno lopera;alex moreno
conrad egan-riley;cj egan-riley
jorge luiz frello filho;jorginho
kenny kenny tete;kenny tete
benjamin chilwell;ben chilwell
nicolas nkoulou;nicolas n'koulou
daniel ceballos fernandez;dani ceballos
carlos henrique casimiro;casemiro
